# degauss   lambda    int alpha2F  <log w>     N(Ef)
  0.020    3.058784         NaN       NaN    8.058151
  0.040    2.746006         NaN       NaN    6.349502
  0.060    2.554439         NaN       NaN    6.175620
  0.080    2.328158         NaN       NaN    5.824865
  0.100    2.107662         NaN       NaN    5.392720
  0.120    1.934873         NaN       NaN    5.083224
  0.140    1.822004         NaN       NaN    4.948396
  0.160    1.759972         NaN       NaN    4.950147
  0.180    1.733193         NaN       NaN    5.033136
  0.200    1.728120         NaN       NaN    5.154456
  0.220    1.734966         NaN       NaN    5.287274
  0.240    1.747221         NaN       NaN    5.416525
  0.260    1.761152         NaN       NaN    5.534442
  0.280    1.774221         NaN       NaN    5.637508
  0.300    1.785084         NaN       NaN    5.724603
  0.320    1.793354         NaN       NaN    5.795905
  0.340    1.798488         NaN       NaN    5.852250
  0.360    1.800627         NaN       NaN    5.894779
  0.380    1.800042         NaN       NaN    5.924746
  0.400    1.796712         NaN       NaN    5.943410
  0.420    1.791211         NaN       NaN    5.951987
  0.440    1.783415         NaN       NaN    5.951620
  0.460    1.773981         NaN       NaN    5.943369
  0.480    1.762767         NaN       NaN    5.928201
  0.500    1.750240         NaN       NaN    5.906998
  0.520    1.736482         NaN       NaN    5.880552
  0.540    1.721802         NaN       NaN    5.849575
  0.560    1.706234         NaN       NaN    5.814702
  0.580    1.689890         NaN       NaN    5.776496
  0.600    1.673033         NaN       NaN    5.735457
