     lambda = 1.468392 (  1.464017)  <log w>= 1463.615K  N(Ef)= 4.784727 at degauss=0.020
     lambda = 1.644212 (  1.609199)  <log w>= 1636.136K  N(Ef)= 5.838679 at degauss=0.040
     lambda = 1.598958 (  1.549549)  <log w>= 1668.674K  N(Ef)= 5.853297 at degauss=0.060
     lambda = 1.516578 (  1.465604)  <log w>= 1685.196K  N(Ef)= 5.683248 at degauss=0.080
     lambda = 1.432527 (  1.383927)  <log w>= 1698.627K  N(Ef)= 5.461487 at degauss=0.100
     lambda = 1.365380 (  1.319772)  <log w>= 1712.233K  N(Ef)= 5.271496 at degauss=0.120
     lambda = 1.323088 (  1.279747)  <log w>= 1727.384K  N(Ef)= 5.157303 at degauss=0.140
     lambda = 1.304785 (  1.262953)  <log w>= 1744.165K  N(Ef)= 5.123159 at degauss=0.160
     lambda = 1.304862 (  1.263700)  <log w>= 1761.548K  N(Ef)= 5.152745 at degauss=0.180
     lambda = 1.317295 (  1.275857)  <log w>= 1778.670K  N(Ef)= 5.224346 at degauss=0.200
     lambda = 1.336454 (  1.294256)  <log w>= 1794.872K  N(Ef)= 5.318527 at degauss=0.220
     lambda = 1.358337 (  1.314903)  <log w>= 1809.723K  N(Ef)= 5.420688 at degauss=0.240
     lambda = 1.380128 (  1.335267)  <log w>= 1823.023K  N(Ef)= 5.521004 at degauss=0.260
     lambda = 1.400298 (  1.353950)  <log w>= 1835.078K  N(Ef)= 5.613436 at degauss=0.280
     lambda = 1.417746 (  1.370104)  <log w>= 1845.718K  N(Ef)= 5.694640 at degauss=0.300
     lambda = 1.432130 (  1.383231)  <log w>= 1855.238K  N(Ef)= 5.763087 at degauss=0.320
     lambda = 1.443371 (  1.393554)  <log w>= 1863.757K  N(Ef)= 5.818404 at degauss=0.340
     lambda = 1.451407 (  1.400964)  <log w>= 1871.262K  N(Ef)= 5.860932 at degauss=0.360
     lambda = 1.456512 (  1.405518)  <log w>= 1877.973K  N(Ef)= 5.891424 at degauss=0.380
     lambda = 1.458802 (  1.407554)  <log w>= 1883.967K  N(Ef)= 5.910848 at degauss=0.400
     lambda = 1.458681 (  1.407537)  <log w>= 1889.316K  N(Ef)= 5.920259 at degauss=0.420
     lambda = 1.456328 (  1.405299)  <log w>= 1894.117K  N(Ef)= 5.920722 at degauss=0.440
     lambda = 1.451995 (  1.401344)  <log w>= 1898.488K  N(Ef)= 5.913265 at degauss=0.460
     lambda = 1.446070 (  1.395966)  <log w>= 1902.539K  N(Ef)= 5.898848 at degauss=0.480
     lambda = 1.438521 (  1.388977)  <log w>= 1906.149K  N(Ef)= 5.878357 at degauss=0.500
     lambda = 1.429759 (  1.381042)  <log w>= 1909.503K  N(Ef)= 5.852593 at degauss=0.520
     lambda = 1.419872 (  1.371872)  <log w>= 1912.576K  N(Ef)= 5.822277 at degauss=0.540
     lambda = 1.409010 (  1.361911)  <log w>= 1915.519K  N(Ef)= 5.788052 at degauss=0.560
     lambda = 1.397401 (  1.351254)  <log w>= 1918.165K  N(Ef)= 5.750487 at degauss=0.580
     lambda = 1.385100 (  1.339976)  <log w>= 1920.684K  N(Ef)= 5.710088 at degauss=0.600
lambda        omega_log          T_c
   1.46839      1463.615            148.741
   1.64421      1636.136            186.320
   1.59896      1668.674            185.024
   1.51658      1685.196            177.199
   1.43253      1698.627            168.022
   1.36538      1712.233            160.326
   1.32309      1727.384            155.753
   1.30478      1744.165            154.585
   1.30486      1761.548            156.138
   1.31729      1778.670            159.516
   1.33645      1794.872            163.828
   1.35834      1809.723            168.424
   1.38013      1823.023            172.858
   1.40030      1835.078            176.931
   1.41775      1845.718            180.469
   1.43213      1855.238            183.457
   1.44337      1863.757            185.898
   1.45141      1871.262            187.785
   1.45651      1877.973            189.181
   1.45880      1883.967            190.109
   1.45868      1889.316            190.631
   1.45633      1894.117            190.781
   1.45200      1898.488            190.601
   1.44607      1902.539            190.155
   1.43852      1906.149            189.422
   1.42976      1909.503            188.475
   1.41987      1912.576            187.321
   1.40901      1915.519            185.993
   1.39740      1918.165            184.505
   1.38510      1920.684            182.878
