# degauss   lambda    int alpha2F  <log w>     N(Ef)
  0.020    1.432716    1.399874  1775.643    5.432083
  0.040    1.422647    1.347155  1745.055    5.066184
  0.060    1.314621    1.197054  1775.298    4.735529
  0.080    1.224168    1.091769  1802.420    4.537786
  0.100    1.176919    1.033289  1826.320    4.513297
  0.120    1.158961    1.006384  1849.148    4.586530
  0.140    1.158634    0.998687  1871.627    4.701416
  0.160    1.170400    1.003655  1894.299    4.835416
  0.180    1.190582    1.017009  1916.148    4.978049
  0.200    1.216031    1.035621  1936.580    5.121922
  0.220    1.243841    1.056289  1955.395    5.261038
  0.240    1.271644    1.077154  1972.319    5.390797
  0.260    1.297952    1.096865  1987.229    5.508042
  0.280    1.321463    1.114446  2000.523    5.610910
  0.300    1.341764    1.129481  2012.196    5.698581
  0.320    1.358381    1.141633  2022.395    5.771019
  0.340    1.371421    1.151164  2031.337    5.828737
  0.360    1.381181    1.158036  2039.148    5.872608
  0.380    1.387603    1.162283  2045.877    5.903718
  0.400    1.391120    1.164388  2051.932    5.923252
  0.420    1.392153    1.164549  2057.280    5.932417
  0.440    1.390777    1.162847  2062.060    5.932388
  0.460    1.387555    1.159672  2066.344    5.924275
  0.480    1.382286    1.154827  2070.024    5.909102
  0.500    1.375647    1.149259  2073.768    5.887799
  0.520    1.367654    1.142206  2076.821    5.861204
  0.540    1.358408    1.134359  2079.661    5.830064
  0.560    1.348329    1.125815  2082.535    5.795040
  0.580    1.337423    1.116736  2084.878    5.756714
  0.600    1.325747    1.106825  2087.253    5.715598
