 &plot nbnd=  36, nks=   351 /
   -2.813   -2.593   -0.455   -0.303   -0.074    0.291    0.867    1.060    1.104    1.542
    1.592    1.818    2.315    2.343    9.036   11.998   12.054   12.497   12.580   13.800
   14.032   14.834   15.175   15.254   16.071   16.199
            0.160000  0.092376  0.000000
  -16.697  -15.320  -15.222  -14.611  -14.561  -14.550   -5.726   -5.524   -2.937   -2.898
   -2.822   -2.578   -0.464   -0.297   -0.071    0.304    0.840    1.056    1.103    1.537
    1.593    1.809    2.319    2.352    9.080   11.999   12.059   12.504   12.595   13.795
   14.003   14.823   15.167   15.252   16.043   16.194
            0.170000  0.098150  0.000000
  -16.688  -15.331  -15.221  -14.613  -14.563  -14.551   -5.730   -5.504   -2.939   -2.904
   -2.830   -2.563   -0.473   -0.290   -0.069    0.317    0.811    1.051    1.102    1.532
    1.593    1.800    2.322    2.360    9.127   12.000   12.064   12.511   12.610   13.786
   13.975   14.811   15.160   15.250   16.008   16.186
            0.180000  0.103923  0.000000
  -16.678  -15.343  -15.219  -14.615  -14.565  -14.552   -5.734   -5.483   -2.941   -2.912
   -2.836   -2.547   -0.482   -0.283   -0.066    0.329    0.782    1.046    1.100    1.527
    1.593    1.792    2.325    2.369    9.175   12.002   12.069   12.519   12.627   13.771
   13.951   14.800   15.156   15.249   15.967   16.174
            0.190000  0.109697  0.000000
  -16.667  -15.355  -15.218  -14.618  -14.566  -14.552   -5.738   -5.460   -2.943   -2.921
   -2.841   -2.531   -0.490   -0.276   -0.063    0.342    0.752    1.041    1.098    1.523
    1.593    1.784    2.328    2.378    9.226   12.004   12.074   12.527   12.644   13.751
   13.931   14.789   15.153   15.248   15.922   16.160
            0.200000  0.115470  0.000000
  -16.656  -15.368  -15.216  -14.620  -14.568  -14.553   -5.742   -5.437   -2.947   -2.931
   -2.845   -2.514   -0.498   -0.268   -0.061    0.354    0.722    1.036    1.096    1.518
    1.593    1.776    2.331    2.387    9.278   12.007   12.079   12.536   12.661   13.726
   13.915   14.779   15.152   15.248   15.874   16.143
            0.210000  0.121244  0.000000
  -16.645  -15.382  -15.215  -14.621  -14.570  -14.554   -5.747   -5.414   -2.955   -2.938
   -2.848   -2.497   -0.505   -0.260   -0.059    0.366    0.691    1.030    1.093    1.514
    1.592    1.769    2.334    2.395    9.332   12.010   12.084   12.545   12.680   13.697
   13.901   14.769   15.153   15.248   15.822   16.123
            0.220000  0.127017  0.000000
  -16.633  -15.396  -15.213  -14.623  -14.572  -14.555   -5.751   -5.389   -2.967   -2.941
   -2.850   -2.479   -0.512   -0.252   -0.057    0.377    0.659    1.023    1.090    1.510
    1.592    1.763    2.336    2.404    9.388   12.015   12.089   12.555   12.699   13.665
   13.890   14.759   15.156   15.248   15.768   16.102
            0.230000  0.132791  0.000000
  -16.620  -15.411  -15.211  -14.625  -14.574  -14.557   -5.756   -5.365   -2.983   -2.943
   -2.851   -2.462   -0.518   -0.244   -0.055    0.388    0.628    1.017    1.087    1.506
