# degauss   lambda    int alpha2F  <log w>     N(Ef)
  0.020    1.468392    1.464017  1463.615    4.784727
  0.040    1.644212    1.609199  1636.136    5.838679
  0.060    1.598958    1.549549  1668.674    5.853297
  0.080    1.516578    1.465604  1685.196    5.683248
  0.100    1.432527    1.383927  1698.627    5.461487
  0.120    1.365380    1.319772  1712.233    5.271496
  0.140    1.323088    1.279747  1727.384    5.157303
  0.160    1.304785    1.262953  1744.165    5.123159
  0.180    1.304862    1.263700  1761.548    5.152745
  0.200    1.317295    1.275857  1778.670    5.224346
  0.220    1.336454    1.294256  1794.872    5.318527
  0.240    1.358337    1.314903  1809.723    5.420688
  0.260    1.380128    1.335267  1823.023    5.521004
  0.280    1.400298    1.353950  1835.078    5.613436
  0.300    1.417746    1.370104  1845.718    5.694640
  0.320    1.432130    1.383231  1855.238    5.763087
  0.340    1.443371    1.393554  1863.757    5.818404
  0.360    1.451407    1.400964  1871.262    5.860932
  0.380    1.456512    1.405518  1877.973    5.891424
  0.400    1.458802    1.407554  1883.967    5.910848
  0.420    1.458681    1.407537  1889.316    5.920259
  0.440    1.456328    1.405299  1894.117    5.920722
  0.460    1.451995    1.401344  1898.488    5.913265
  0.480    1.446070    1.395966  1902.539    5.898848
  0.500    1.438521    1.388977  1906.149    5.878357
  0.520    1.429759    1.381042  1909.503    5.852593
  0.540    1.419872    1.371872  1912.576    5.822277
  0.560    1.409010    1.361911  1915.519    5.788052
  0.580    1.397401    1.351254  1918.165    5.750487
  0.600    1.385100    1.339976  1920.684    5.710088
