     lambda = 2.361062 (  2.180049)  <log w>= 1512.034K  N(Ef)= 6.905575 at degauss=0.020
     lambda = 2.294990 (  2.088996)  <log w>= 1536.465K  N(Ef)= 6.954215 at degauss=0.040
     lambda = 2.035220 (  1.894229)  <log w>= 1547.379K  N(Ef)= 6.236377 at degauss=0.060
     lambda = 1.830922 (  1.740670)  <log w>= 1567.004K  N(Ef)= 5.721078 at degauss=0.080
     lambda = 1.686722 (  1.629844)  <log w>= 1588.162K  N(Ef)= 5.398938 at degauss=0.100
     lambda = 1.589254 (  1.553018)  <log w>= 1608.306K  N(Ef)= 5.204025 at degauss=0.120
     lambda = 1.530515 (  1.507164)  <log w>= 1627.209K  N(Ef)= 5.108792 at degauss=0.140
     lambda = 1.502687 (  1.487335)  <log w>= 1645.419K  N(Ef)= 5.093980 at degauss=0.160
     lambda = 1.497284 (  1.486994)  <log w>= 1662.967K  N(Ef)= 5.137465 at degauss=0.180
     lambda = 1.506206 (  1.498446)  <log w>= 1679.590K  N(Ef)= 5.217636 at degauss=0.200
     lambda = 1.523277 (  1.516772)  <log w>= 1695.186K  N(Ef)= 5.316652 at degauss=0.220
     lambda = 1.544028 (  1.537896)  <log w>= 1709.701K  N(Ef)= 5.421360 at degauss=0.240
     lambda = 1.564925 (  1.558572)  <log w>= 1722.775K  N(Ef)= 5.522891 at degauss=0.260
     lambda = 1.584312 (  1.577330)  <log w>= 1734.639K  N(Ef)= 5.615768 at degauss=0.280
     lambda = 1.600948 (  1.593313)  <log w>= 1745.168K  N(Ef)= 5.696981 at degauss=0.300
     lambda = 1.614438 (  1.605937)  <log w>= 1754.526K  N(Ef)= 5.765204 at degauss=0.320
     lambda = 1.624565 (  1.615485)  <log w>= 1763.029K  N(Ef)= 5.820204 at degauss=0.340
     lambda = 1.631369 (  1.621672)  <log w>= 1770.514K  N(Ef)= 5.862413 at degauss=0.360
     lambda = 1.635107 (  1.624778)  <log w>= 1777.324K  N(Ef)= 5.892638 at degauss=0.380
     lambda = 1.636039 (  1.625198)  <log w>= 1783.373K  N(Ef)= 5.911877 at degauss=0.400
     lambda = 1.634308 (  1.623052)  <log w>= 1788.864K  N(Ef)= 5.921195 at degauss=0.420
     lambda = 1.630359 (  1.618966)  <log w>= 1793.875K  N(Ef)= 5.921655 at degauss=0.440
     lambda = 1.624348 (  1.612631)  <log w>= 1798.394K  N(Ef)= 5.914272 at degauss=0.460
     lambda = 1.616585 (  1.604631)  <log w>= 1802.689K  N(Ef)= 5.899991 at degauss=0.480
     lambda = 1.607131 (  1.595072)  <log w>= 1806.501K  N(Ef)= 5.879681 at degauss=0.500
     lambda = 1.596539 (  1.584421)  <log w>= 1810.115K  N(Ef)= 5.854128 at degauss=0.520
     lambda = 1.584750 (  1.572627)  <log w>= 1813.463K  N(Ef)= 5.824038 at degauss=0.540
     lambda = 1.571945 (  1.559848)  <log w>= 1816.537K  N(Ef)= 5.790043 at degauss=0.560
     lambda = 1.558392 (  1.546352)  <log w>= 1819.581K  N(Ef)= 5.752704 at degauss=0.580
     lambda = 1.544146 (  1.532363)  <log w>= 1822.321K  N(Ef)= 5.712517 at degauss=0.600
lambda        omega_log          T_c
   2.36106      1512.034            241.270
   2.29499      1536.465            241.173
   2.03522      1547.379            225.219
   1.83092      1567.004            211.516
   1.68672      1588.162            200.894
   1.58925      1608.306            193.318
   1.53052      1627.209            189.026
   1.50269      1645.419            187.886
   1.49728      1662.967            189.242
   1.50621      1679.590            192.212
   1.52328      1695.186            196.057
   1.54403      1709.701            200.224
   1.56493      1722.775            204.238
   1.58431      1734.639            207.927
   1.60095      1745.168            211.131
   1.61444      1754.526            213.828
   1.62457      1763.029            216.034
   1.63137      1770.514            217.736
   1.63511      1777.324            219.003
   1.63604      1783.373            219.856
   1.63431      1788.864            220.333
   1.63036      1793.875            220.491
   1.62435      1798.394            220.342
   1.61659      1802.689            219.953
   1.60713      1806.501            219.292
   1.59654      1810.115            218.457
   1.58475      1813.463            217.428
   1.57195      1816.537            216.223
   1.55839      1819.581            214.899
   1.54415      1822.321            213.428
