     lambda = 1.432716 (  1.399874)  <log w>= 1775.643K  N(Ef)= 5.432083 at degauss=0.020
     lambda = 1.422647 (  1.347155)  <log w>= 1745.055K  N(Ef)= 5.066184 at degauss=0.040
     lambda = 1.314621 (  1.197054)  <log w>= 1775.298K  N(Ef)= 4.735529 at degauss=0.060
     lambda = 1.224168 (  1.091769)  <log w>= 1802.420K  N(Ef)= 4.537786 at degauss=0.080
     lambda = 1.176919 (  1.033289)  <log w>= 1826.320K  N(Ef)= 4.513297 at degauss=0.100
     lambda = 1.158961 (  1.006384)  <log w>= 1849.148K  N(Ef)= 4.586530 at degauss=0.120
     lambda = 1.158634 (  0.998687)  <log w>= 1871.627K  N(Ef)= 4.701416 at degauss=0.140
     lambda = 1.170400 (  1.003655)  <log w>= 1894.299K  N(Ef)= 4.835416 at degauss=0.160
     lambda = 1.190582 (  1.017009)  <log w>= 1916.148K  N(Ef)= 4.978049 at degauss=0.180
     lambda = 1.216031 (  1.035621)  <log w>= 1936.580K  N(Ef)= 5.121922 at degauss=0.200
     lambda = 1.243841 (  1.056289)  <log w>= 1955.395K  N(Ef)= 5.261038 at degauss=0.220
     lambda = 1.271644 (  1.077154)  <log w>= 1972.319K  N(Ef)= 5.390797 at degauss=0.240
     lambda = 1.297952 (  1.096865)  <log w>= 1987.229K  N(Ef)= 5.508042 at degauss=0.260
     lambda = 1.321463 (  1.114446)  <log w>= 2000.523K  N(Ef)= 5.610910 at degauss=0.280
     lambda = 1.341764 (  1.129481)  <log w>= 2012.196K  N(Ef)= 5.698581 at degauss=0.300
     lambda = 1.358381 (  1.141633)  <log w>= 2022.395K  N(Ef)= 5.771019 at degauss=0.320
     lambda = 1.371421 (  1.151164)  <log w>= 2031.337K  N(Ef)= 5.828737 at degauss=0.340
     lambda = 1.381181 (  1.158036)  <log w>= 2039.148K  N(Ef)= 5.872608 at degauss=0.360
     lambda = 1.387603 (  1.162283)  <log w>= 2045.877K  N(Ef)= 5.903718 at degauss=0.380
     lambda = 1.391120 (  1.164388)  <log w>= 2051.932K  N(Ef)= 5.923252 at degauss=0.400
     lambda = 1.392153 (  1.164549)  <log w>= 2057.280K  N(Ef)= 5.932417 at degauss=0.420
     lambda = 1.390777 (  1.162847)  <log w>= 2062.060K  N(Ef)= 5.932388 at degauss=0.440
     lambda = 1.387555 (  1.159672)  <log w>= 2066.344K  N(Ef)= 5.924275 at degauss=0.460
     lambda = 1.382286 (  1.154827)  <log w>= 2070.024K  N(Ef)= 5.909102 at degauss=0.480
     lambda = 1.375647 (  1.149259)  <log w>= 2073.768K  N(Ef)= 5.887799 at degauss=0.500
     lambda = 1.367654 (  1.142206)  <log w>= 2076.821K  N(Ef)= 5.861204 at degauss=0.520
     lambda = 1.358408 (  1.134359)  <log w>= 2079.661K  N(Ef)= 5.830064 at degauss=0.540
     lambda = 1.348329 (  1.125815)  <log w>= 2082.535K  N(Ef)= 5.795040 at degauss=0.560
     lambda = 1.337423 (  1.116736)  <log w>= 2084.878K  N(Ef)= 5.756714 at degauss=0.580
     lambda = 1.325747 (  1.106825)  <log w>= 2087.253K  N(Ef)= 5.715598 at degauss=0.600
lambda        omega_log          T_c
   1.43272      1775.643            193.568
   1.42265      1745.055            188.892
   1.31462      1775.298            176.794
   1.22417      1802.420            165.330
   1.17692      1826.320            159.597
   1.15896      1849.148            158.461
   1.15863      1871.627            160.329
   1.17040      1894.299            164.378
   1.19058      1916.148            169.883
   1.21603      1936.580            176.211
   1.24384      1955.395            182.801
   1.27164      1972.319            189.192
   1.29795      1987.229            195.107
   1.32146      2000.523            200.366
   1.34176      2012.196            204.909
   1.35838      2022.395            208.681
   1.37142      2031.337            211.733
   1.38118      2039.148            214.132
   1.38760      2045.877            215.877
   1.39112      2051.932            217.085
   1.39215      2057.280            217.818
   1.39078      2062.060            218.101
   1.38756      2066.344            218.029
   1.38229      2070.024            217.555
   1.37565      2073.768            216.855
   1.36765      2076.821            215.847
   1.35841      2079.661            214.595
   1.34833      2082.535            213.188
   1.33742      2084.878            211.568
   1.32575      2087.253            209.796
