# degauss   lambda    int alpha2F  <log w>     N(Ef)
  0.020    1.361844    1.517395  1601.998    5.317137
  0.040    1.506512    1.653335  1621.206    5.852217
  0.060    1.440953    1.572520  1634.756    5.717574
  0.080    1.360908    1.480582  1640.197    5.474878
  0.100    1.298980    1.412316  1645.268    5.277176
  0.120    1.256294    1.367243  1650.632    5.146173
  0.140    1.231726    1.342173  1657.194    5.081744
  0.160    1.223944    1.334669  1666.038    5.079950
  0.180    1.229989    1.340767  1676.528    5.128988
  0.200    1.245678    1.355862  1688.236    5.212264
  0.220    1.266685    1.375689  1700.074    5.313651
  0.240    1.289782    1.396871  1711.521    5.420424
  0.260    1.312437    1.417358  1722.272    5.523794
  0.280    1.333221    1.435565  1732.040    5.618298
  0.300    1.351266    1.450995  1740.990    5.700924
  0.320    1.366165    1.463098  1748.906    5.770339
  0.340    1.377893    1.472137  1756.142    5.826301
  0.360    1.386351    1.477820  1762.651    5.869244
  0.380    1.391904    1.480883  1768.556    5.899990
  0.400    1.394765    1.481266  1774.004    5.919557
  0.420    1.395226    1.479377  1778.893    5.929038
  0.440    1.393417    1.475238  1783.413    5.929523
  0.460    1.389783    1.469478  1787.682    5.922056
  0.480    1.384372    1.462124  1791.610    5.907607
  0.500    1.377597    1.453358  1795.204    5.887068
  0.520    1.369544    1.443492  1798.675    5.861243
  0.540    1.360331    1.432504  1801.794    5.830854
  0.560    1.350271    1.420878  1804.834    5.796543
  0.580    1.339369    1.408400  1807.708    5.758883
  0.600    1.327830    1.395391  1810.452    5.718376
